metric,abbreviated_column,full_column,n_sessions,pearson_r,spearman_r,lins_ccc,mean_bias,mae,rmse
commission_rate,short_sart_commission_rate_raw,full_sart_commission_rate_raw,744,0.8444942659606167,0.8400752259956189,0.8227671284393168,0.05538306451612903,0.12127016129032257,0.1560977214949468
omission_rate,short_sart_omission_rate_raw,full_sart_omission_rate_raw,744,0.8531493464174715,0.7989316696710841,0.8096709596204935,-0.007608137829912025,0.014168499511241446,0.04487871762587872
anticipatory_rate,short_sart_anticipatory_rate_raw,full_sart_anticipatory_rate_raw,744,0.8952660418287532,0.8358750641203258,0.8924342002162742,-0.0036198680351906165,0.010890151515151514,0.022803592530813727
go_mean_rt_ms,short_sart_go_mean_rt_ms_raw,full_sart_go_mean_rt_ms_raw,744,0.9198102063013481,0.9020258408498626,0.8991966138111616,-16.328223045726528,23.14310634075973,34.669150388349536
go_rt_cv,short_sart_go_rt_cv_raw,full_sart_go_rt_cv_raw,744,0.8075483948184986,0.8094325707760416,0.7901218356754449,-0.023050667955903846,0.04661429224236033,0.0730764812426987
