sart_source,control_profile,preserved_engagement_sessions,low_engagement_sessions,total_sessions,low_engagement_rate,expected_low_engagement_sessions,low_engagement_observed_expected_ratio,median_engagement_index
full_225,Paired-Control-GMM4-full-C1,126,68,194,0.35051546391752575,54.75806451612903,1.2418262150220913,-0.21704556221229493
full_225,Paired-Control-GMM4-full-C2,325,65,390,0.16666666666666666,110.08064516129032,0.5904761904761905,0.16964233542368556
full_225,Paired-Control-GMM4-full-C3,13,34,47,0.723404255319149,13.266129032258064,2.562917933130699,-1.411546640105148
full_225,Paired-Control-GMM4-full-C4,70,43,113,0.3805309734513274,31.89516129032258,1.3481668773704172,-0.26009553644191524
abbreviated_144,Paired-Control-GMM4-full-C1,128,66,194,0.3402061855670103,55.80107526881721,1.1827729068311013,-0.21262960232281664
abbreviated_144,Paired-Control-GMM4-full-C2,324,66,390,0.16923076923076924,112.1774193548387,0.588353702372394,0.1597882333460916
abbreviated_144,Paired-Control-GMM4-full-C3,13,34,47,0.723404255319149,13.518817204301076,2.515012925034798,-1.0098904181306456
abbreviated_144,Paired-Control-GMM4-full-C4,65,48,113,0.4247787610619469,32.50268817204301,1.4768009263088249,-0.25019844034382155
