control_profile,low_engagement_rate,low_engagement_rate_ci_lower,low_engagement_rate_ci_upper,one_vs_rest_odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper
Paired-Control-GMM4-full-C1,0.3564356435643564,0.2842611855427034,0.43103843720341656,1.5767286686985165,1.0803494371730775,2.3013765353174827
Paired-Control-GMM4-full-C2,0.1658291457286432,0.12776012873669124,0.20626839073314265,0.2814814622092347,0.19508869996843806,0.4004848094856074
Paired-Control-GMM4-full-C3,0.6862745098039216,0.5581395348837209,0.8048780487804879,6.265507367832949,3.5311406641741443,11.962070889970676
Paired-Control-GMM4-full-C4,0.39316239316239315,0.3069216593192166,0.48781448050700965,1.801271820564933,1.189817614409067,2.7074371205348555
