sart_source,control_profile,preserved_engagement_sessions,low_engagement_sessions,total_sessions,low_engagement_rate,expected_low_engagement_sessions,low_engagement_observed_expected_ratio,median_engagement_index
full_225,Paired-Control-GMM4-full-C1,126,68,194,0.35051546391752575,54.75806451612903,1.2418262150220913,-0.21704556221229493
full_225,Paired-Control-GMM4-full-C2,325,65,390,0.16666666666666666,110.08064516129032,0.5904761904761905,0.16964233542368556
full_225,Paired-Control-GMM4-full-C3,13,34,47,0.723404255319149,13.266129032258064,2.562917933130699,-1.411546640105148
full_225,Paired-Control-GMM4-full-C4,70,43,113,0.3805309734513274,31.89516129032258,1.3481668773704172,-0.26009553644191524
abbreviated_96,Paired-Control-GMM4-full-C1,120,74,194,0.38144329896907214,57.104838709677416,1.2958621663606835,-0.13696244211365854
abbreviated_96,Paired-Control-GMM4-full-C2,320,70,390,0.1794871794871795,114.79838709677419,0.6097646645591851,0.14951852896308768
abbreviated_96,Paired-Control-GMM4-full-C3,15,32,47,0.6808510638297872,13.834677419354838,2.313028271640921,-0.905677754284667
abbreviated_96,Paired-Control-GMM4-full-C4,70,43,113,0.3805309734513274,33.26209677419355,1.2927627591223176,-0.10072099691389623
