sart_source,predictor,outcome,level,correlation,n
full_225,sart_engagement_index,task_active_efficacy,session,0.38237614720868834,744
full_225,sart_engagement_index,task_active_efficacy,between_person,0.4734676701853945,456
full_225,sart_engagement_index,task_active_efficacy,within_person,0.10241639461241489,491
full_225,sart_inhibitory_stability_index,task_active_efficacy,session,0.2728678586851185,744
full_225,sart_inhibitory_stability_index,task_active_efficacy,between_person,0.2856729725343226,456
full_225,sart_inhibitory_stability_index,task_active_efficacy,within_person,0.08849835921793132,491
abbreviated_144,sart_engagement_index,task_active_efficacy,session,0.3474985554720584,744
abbreviated_144,sart_engagement_index,task_active_efficacy,between_person,0.4442318133323546,456
abbreviated_144,sart_engagement_index,task_active_efficacy,within_person,0.028678550277775994,491
abbreviated_144,sart_inhibitory_stability_index,task_active_efficacy,session,0.2803398987151058,744
abbreviated_144,sart_inhibitory_stability_index,task_active_efficacy,between_person,0.3122376058986341,456
abbreviated_144,sart_inhibitory_stability_index,task_active_efficacy,within_person,0.06757009675528274,491
