predictor,outcome,level,correlation,n
sart_2min_engagement_index,sart_engagement_index,session,0.8119604873894096,744
sart_2min_engagement_index,sart_engagement_index,between_person,0.8366046828905289,456
sart_2min_engagement_index,sart_engagement_index,within_person,0.7769496730618926,491
sart_2min_inhibitory_stability_index,sart_inhibitory_stability_index,session,0.8647301730329235,744
sart_2min_inhibitory_stability_index,sart_inhibitory_stability_index,between_person,0.8838541624942177,456
sart_2min_inhibitory_stability_index,sart_inhibitory_stability_index,within_person,0.8419543148810321,491
