sart_source,n_sessions,n_participants,engagement_threshold,chi_square,degrees_freedom,p_value,cramers_v,bootstrap_repetitions
full_225,744,456,-0.5,80.71915209575799,3,2.1516464515552705e-17,0.32938349078190715,5000
abbreviated_144,744,456,-0.5,83.23147669877251,3,6.219068037403851e-18,0.33447012479453314,5000
