predictor,outcome,level,correlation,n
sart_3min_engagement_index,sart_engagement_index,session,0.9124580227319019,744
sart_3min_engagement_index,sart_engagement_index,between_person,0.9304433445168215,456
sart_3min_engagement_index,sart_engagement_index,within_person,0.8979751709207842,491
sart_3min_inhibitory_stability_index,sart_inhibitory_stability_index,session,0.9515291537111414,744
sart_3min_inhibitory_stability_index,sart_inhibitory_stability_index,between_person,0.9602805556627797,456
sart_3min_inhibitory_stability_index,sart_inhibitory_stability_index,within_person,0.9304278890464233,491
