control_profile,n_sessions,n_participants,online_fraction,low_engagement_candidate_rate,mean_task_active_efficacy,median_task_active_efficacy,mean_control_accuracy_index,median_control_accuracy_index,mean_control_speed_index,median_control_speed_index,mean_conflict_resilience_index,median_conflict_resilience_index,mean_stroop_accuracy,median_stroop_accuracy,mean_stroop_mean_rt_ms,median_stroop_mean_rt_ms,mean_stroop_interference_rt_ms,median_stroop_interference_rt_ms,mean_stroop_throughput,median_stroop_throughput,mean_flanker_accuracy,median_flanker_accuracy,mean_flanker_mean_rt_ms,median_flanker_mean_rt_ms,mean_flanker_interference_rt_ms,median_flanker_interference_rt_ms,mean_flanker_throughput,median_flanker_throughput,mean_sart_engagement_index,median_sart_engagement_index,mean_sart_inhibitory_stability_index,median_sart_inhibitory_stability_index,mean_sart_omission_rate,median_sart_omission_rate,mean_sart_go_rt_cv,median_sart_go_rt_cv,mean_sart_commission_rate,median_sart_commission_rate,mean_sart_anticipatory_rate,median_sart_anticipatory_rate,provisional_pattern_note
Paired-Control-GMM4-full-C1,202,153,0.6039603960396039,0.3564356435643564,-0.4102936079350898,-0.3888370010323465,-0.05076741266132958,-0.06891800116519818,-0.879845639477777,-0.7994107311676972,-0.30026777166616264,-0.32272199005180474,0.9678424389155499,0.971218616044091,983.8953205088017,951.4253731343294,158.6448057249394,151.23403361344697,1.022172410258375,1.015000251034688,0.9892293897069699,0.992857142857143,501.3157518054784,498.0723106756483,48.397152844955706,43.671143870897964,2.0019924737521104,1.9883485799066447,-0.6214038904198492,-0.21704556221229493,-0.3630017028024461,-0.0548739683247824,0.034851485148514855,0.01,0.287932429409912,0.26845106230218296,0.5245544554455446,0.52,0.023292079207920792,0.005,slow_compensatory_candidate
Paired-Control-GMM4-full-C2,398,280,0.6030150753768844,0.1658291457286432,0.10397278913477323,0.09569982887875678,0.0660224071146374,0.07009061978471665,0.20128294726160292,0.18504697828354405,0.04461301302807934,0.0470395476728471,0.972163064631741,0.9716268626250255,718.0823376973817,706.7272492000754,82.02720761233631,72.54793365107196,1.3795422326225237,1.3729184397520842,0.9913522012809016,0.9929577464788735,415.5036085708235,412.721405228758,38.17462162338421,37.618960137637,2.4082764575738804,2.4087200352564855,-0.09006905986601023,0.16964233542368556,-0.1729638601214862,0.1246932857461522,0.013241206030150752,0.005,0.24757318149033714,0.2251418816054555,0.46733668341708545,0.44,0.01899497487437186,0.0,regulated_control_candidate
Paired-Control-GMM4-full-C3,51,47,0.6862745098039216,0.6862745098039216,-1.3998912203479046,-1.4189877463388794,-2.338346406331808,-2.4332076223351224,-1.0403961010712355,-0.8689110193467471,-0.8209311536406705,-1.103548217310671,0.8736623186511095,0.892857142857143,1041.2196825097105,999.874341527657,153.36772692681683,141.02042160737415,0.9540331911943088,0.9099212584980604,0.8950789991440545,0.9572434607645881,519.6574116709712,516.5769841269839,54.12862135079913,48.742222222221926,1.7871795071035657,1.86686199727818,-1.52180459016714,-1.2627574349562214,-0.9718457090621212,-0.5304483604728977,0.08666666666666668,0.03,0.38276591551132794,0.3562325782954,0.6196078431372548,0.64,0.047254901960784315,0.03,overloaded_control_candidate
Paired-Control-GMM4-full-C4,117,93,0.5897435897435898,0.39316239316239315,-0.49342039834775725,-0.4812055321005914,-1.2703969078525628,-1.1957191319892249,0.14377039742626802,0.11588401713049368,-0.3536346846169767,-0.332857618152194,0.9308179339344164,0.9353949785670546,739.7805678111496,730.1370838117105,100.33845443276014,80.75897435897502,1.2923575096196485,1.2714957889522311,0.961779361498692,0.9645875251509051,415.48723691871766,411.066176470588,38.63100413027932,37.053161592505035,2.337003629816844,2.32228595623657,-0.6566946094090113,-0.28679206764093723,-0.6239754742989185,-0.21949587329912998,0.036965811965811966,0.01,0.2989538344983612,0.265043698078879,0.5545299145299146,0.56,0.035854700854700855,0.01,fast_brittle_candidate
