feature,icc_1,n_windows,n_subjects,mean_windows_per_subject,interpretation
is_C1,0.3852331014120386,512,210,2.4380952380952383,mixed
is_C2,0.3714109423623027,512,210,2.4380952380952383,mixed
is_C4,0.3280212581148585,512,210,2.4380952380952383,mixed
is_C3,0.18679294266224838,512,210,2.4380952380952383,mostly_within_person
