maximum_hours_per_participant,n_windows,parallel_analysis_components,c1_direct_congruence,c2_direct_congruence,c3_direct_congruence,secondary_subspace_minimum_similarity,all_three_subspace_minimum_similarity
2,660,3,0.9886823433370786,0.7632159550941184,0.7534916359164463,0.9831718063791985,0.9882227798720175
4,1320,3,0.9805668864264985,0.7342962909715331,0.7156231101212112,0.9769099417557013,0.9879406105329163
8,2625,3,0.9841214881554103,0.7127041201349187,0.7051206220288344,0.9810096535074448,0.9902214781854312
