component,bootstrap_median_tucker_congruence,bootstrap_p05_tucker_congruence,bootstrap_repetitions_completed
1,0.9976674305037707,0.9853769105728313,200
2,0.9935237019811044,0.9752396610915842,200
3,0.9971100475774305,0.9797306955544942,200
