scope,dimensions,minimum_canonical_similarity,mean_canonical_similarity,maximum_principal_angle_degrees,canonical_similarities
all_three_components,3,0.9914612650072576,0.9964511582176394,7.492796020732041,0.999310|0.998582|0.991461
secondary_C2_C3_subspace,2,0.9806671478177142,0.9895892546858873,11.284641533465452,0.998511|0.980667
