scope,dimensions,minimum_canonical_similarity,mean_canonical_similarity,maximum_principal_angle_degrees,canonical_similarities,window_seconds
all_three_components,3,0.9902214781854312,0.9962370839096074,8.019157944462165,0.999573|0.998917|0.990221,120
secondary_C2_C3_subspace,2,0.9810096535074448,0.9893172217145403,11.183912577930997,0.997625|0.981010,120
all_three_components,3,0.9902279474259128,0.9962755379665734,8.016500524985462,0.999714|0.998884|0.990228,180
secondary_C2_C3_subspace,2,0.9679673040125594,0.9832225996813808,14.541210021780286,0.998478|0.967967,180
all_three_components,3,0.9898637527021789,0.9958559557043106,8.164766248539879,0.999364|0.998340|0.989864,300
secondary_C2_C3_subspace,2,0.9800390257593795,0.9889724623756628,11.467099143645779,0.997906|0.980039,300
