reference_component,candidate_component,signed_tucker_congruence,absolute_tucker_congruence,orientation_multiplier,window_seconds
1,1,0.9841214881554103,0.9841214881554103,1.0,120
2,2,0.7127041201349187,0.7127041201349187,1.0,120
3,3,0.7051206220288344,0.7051206220288344,1.0,120
1,1,0.970852917712436,0.970852917712436,1.0,180
2,2,0.7740972459315542,0.7740972459315542,1.0,180
3,3,0.7623275947800593,0.7623275947800593,1.0,180
1,1,0.982628621100899,0.982628621100899,1.0,300
2,3,0.7875828147887887,0.7875828147887887,1.0,300
3,2,-0.7740850177470979,0.7740850177470979,-1.0,300
