window_seconds,n_windows,n_participants,quality_pass_rate,median_intervals,mean_correction_rate,physiological_invalid_rate,isolated_outlier_rate
120,2640,11,0.9943181818181818,143.0,0.0027400429173178656,5.7823826312570165e-05,0.002726142444701796
180,1760,11,0.9965909090909091,214.0,0.0027464230859932403,6.17946991894803e-05,0.0027319163161673215
300,1056,11,0.9971590909090909,356.0,0.002720768422646562,6.20647724565034e-05,0.0027066870888626257
