mode,component,feature,loading,explained_variance_ratio,bootstrap_median_tucker_congruence,bootstrap_p05_tucker_congruence,bootstrap_repetitions_completed,stable_tucker_ge_0_85
within,1,mean_hr_bpm_within_residual,-0.4049316987072496,0.46853701933061825,0.9929751645174867,0.948319324412747,100,True
within,1,mean_nn_ms_within_residual,0.3986306552910275,0.46853701933061825,0.9929751645174867,0.948319324412747,100,True
within,1,log_rmssd_within_residual,0.44632438681934344,0.46853701933061825,0.9929751645174867,0.948319324412747,100,True
within,1,sdnn_ms_within_residual,0.251916988663751,0.46853701933061825,0.9929751645174867,0.948319324412747,100,True
within,1,cvnn_within_residual,0.18725171459777842,0.46853701933061825,0.9929751645174867,0.948319324412747,100,True
within,1,pnn20_within_residual,0.4166963843480249,0.46853701933061825,0.9929751645174867,0.948319324412747,100,True
within,1,pnn50_within_residual,0.42125726990655465,0.46853701933061825,0.9929751645174867,0.948319324412747,100,True
within,1,sd1_sd2_within_residual,0.15846120533226823,0.46853701933061825,0.9929751645174867,0.948319324412747,100,True
within,1,hr_slope_bpm_per_min_within_residual,0.04218598765194251,0.46853701933061825,0.9929751645174867,0.948319324412747,100,True
within,1,nn_slope_ms_per_min_within_residual,-0.03754880357690493,0.46853701933061825,0.9929751645174867,0.948319324412747,100,True
within,2,mean_hr_bpm_within_residual,0.1277896222644431,0.27558156111721255,0.9915763533914622,0.950567347445272,100,True
within,2,mean_nn_ms_within_residual,-0.16316241170538218,0.27558156111721255,0.9915763533914622,0.950567347445272,100,True
within,2,log_rmssd_within_residual,0.055320042503054785,0.27558156111721255,0.9915763533914622,0.950567347445272,100,True
within,2,sdnn_ms_within_residual,0.44473108811255346,0.27558156111721255,0.9915763533914622,0.950567347445272,100,True
within,2,cvnn_within_residual,0.4909763941189043,0.27558156111721255,0.9915763533914622,0.950567347445272,100,True
within,2,pnn20_within_residual,-0.02664419253539812,0.27558156111721255,0.9915763533914622,0.950567347445272,100,True
within,2,pnn50_within_residual,-0.008386448886534196,0.27558156111721255,0.9915763533914622,0.950567347445272,100,True
within,2,sd1_sd2_within_residual,-0.40230910382819257,0.27558156111721255,0.9915763533914622,0.950567347445272,100,True
within,2,hr_slope_bpm_per_min_within_residual,-0.4230213214226925,0.27558156111721255,0.9915763533914622,0.950567347445272,100,True
within,2,nn_slope_ms_per_min_within_residual,0.4166102177187229,0.27558156111721255,0.9915763533914622,0.950567347445272,100,True
within,3,mean_hr_bpm_within_residual,-0.10512101273538292,0.15485668510052114,0.9979552501800146,0.9781000643550479,100,True
within,3,mean_nn_ms_within_residual,0.10248092131166528,0.15485668510052114,0.9979552501800146,0.9781000643550479,100,True
within,3,log_rmssd_within_residual,-0.008352598979919799,0.15485668510052114,0.9979552501800146,0.9781000643550479,100,True
within,3,sdnn_ms_within_residual,-0.28363242318916665,0.15485668510052114,0.9979552501800146,0.9781000643550479,100,True
within,3,cvnn_within_residual,-0.30483484047356885,0.15485668510052114,0.9979552501800146,0.9781000643550479,100,True
within,3,pnn20_within_residual,0.036459298688776155,0.15485668510052114,0.9979552501800146,0.9781000643550479,100,True
within,3,pnn50_within_residual,0.03203336296984381,0.15485668510052114,0.9979552501800146,0.9781000643550479,100,True
within,3,sd1_sd2_within_residual,0.4104042121262125,0.15485668510052114,0.9979552501800146,0.9781000643550479,100,True
within,3,hr_slope_bpm_per_min_within_residual,-0.5585664983255729,0.15485668510052114,0.9979552501800146,0.9781000643550479,100,True
within,3,nn_slope_ms_per_min_within_residual,0.5676462533140784,0.15485668510052114,0.9979552501800146,0.9781000643550479,100,True
